stat,value,comment,file_name
sim_num_insn,7826,total number of instructions executed,sim-bpred_anagram_bimod_4096.cfg.out.txt
sim_num_refs,4134,total number of loads and stores executed,sim-bpred_anagram_bimod_4096.cfg.out.txt
sim_elapsed_time,1,total simulation time in seconds,sim-bpred_anagram_bimod_4096.cfg.out.txt
sim_inst_rate,7826.0000,simulation speed (in insts/sec),sim-bpred_anagram_bimod_4096.cfg.out.txt
sim_num_branches,1103,total number of branches executed,sim-bpred_anagram_bimod_4096.cfg.out.txt
sim_IPB,7.0952,instruction per branch,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.lookups,1103,total number of bpred lookups,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.updates,1103,total number of updates,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.addr_hits,791,total number of address-predicted hits,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.dir_hits,926,total number of direction-predicted hits (includes addr-hits),sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.misses,177,total number of misses,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.jr_hits,73,total number of address-predicted hits for JR's,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.jr_seen,75,total number of JR's seen,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.jr_non_ras_hits.PP,0,total number of address-predicted hits for non-RAS JR's,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.jr_non_ras_seen.PP,1,total number of non-RAS JR's seen,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.bpred_addr_rate,0.7171,"branch address-prediction rate (i.e., addr-hits/updates)",sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.bpred_dir_rate,0.8395,"branch direction-prediction rate (i.e., all-hits/updates)",sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.bpred_jr_rate,0.9733,"JR address-prediction rate (i.e., JR addr-hits/JRs seen)",sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.bpred_jr_non_ras_rate.PP,0.0000,"non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)",sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.retstack_pushes,78,total number of address pushed onto ret-addr stack,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.retstack_pops,74,total number of address popped off of ret-addr stack,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.used_ras.PP,74,total number of RAS predictions used,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.ras_hits.PP,73,total number of RAS hits,sim-bpred_anagram_bimod_4096.cfg.out.txt
bpred_bimod.ras_rate.PP,0.9865,"RAS prediction rate (i.e., RAS hits/used RAS)",sim-bpred_anagram_bimod_4096.cfg.out.txt
